q,a
I think there's a jump table in this function. How can I analyze it better?,afj
How do I find out what type of file this is? Like if it's ELF or PE or something?,i
I want to see all the loops in a function. Is there a way to highlight or find them?,afb
How do I look for functions that might be doing crypto stuff? Like searching for AES or SHA,"afl~crypto,aes,sha,md5"
I want to find places where the program might be using command line arguments. Where would I look?,axt @sym.argv
How do I see what's in the data section? I want to look at initialized variables.,pxr @ section..data
I'm trying to find where malloc is called. How can I see references to memory allocation?,axt @sym.malloc
How do I check if this binary is stripped? I want to see if it has debug symbols.,i~stripped
I want to see all the network-related functions this program might use. How do I search for those?,"afl~socket,connect,bind"
How can I find all the comparison instructions in a function? Like cmp or test,"pd 100~cmp,test"
I want to see what environment variables this program might use. How do I find those references?,axt @sym.getenv
How do I look at the stack setup in the beginning of a function?,"pd 10 @sym.main~push,sub"
I want to find all functions that are bigger than 100 bytes. How can I do that?,afl~+100
How do I see what libraries this program needs to run? Like its dependencies?,il
I want to find places where the program reads files. How do I look for file operations?,axt @sym.fopen
How can I see if there are any hidden or suspicious strings in the binary?,izz
I want to look for potential format string vulnerabilities. How do I find printf calls?,axt @sym.printf
How do I see what's happening right before a function returns?,pd 10 @sym.main~ret
I want to find functions that don't have any callers. How can I do that?,afl!xref
How do I check what CPU architecture this binary is compiled for?,iA
I want to find all the places where a global variable is being used. How do I do that?,axg
How can I see if this program has any anti-debugging tricks? Like checking for debuggers?,"afl~debug,ptrace"
I want to look at the biggest functions in the program. How do I sort functions by size?,afl=s
How do I find places where the program might be using passwords or encryption keys?,"iz~password,key,secret"
I want to see what math operations a function is doing. How do I find arithmetic instructions?,"pd 100~add,sub,mul,div"
How can I find all the switch statements in a function?,afb @sym.main~switch
I want to see if there are any URLs or IP addresses hidden in the binary. How do I search?,"iz~http,ftp,www,0-9\.0-9"
How do I look for functions that might be handling user input?,"afl~input,read,scanf,gets"
I want to see all the places where data is being copied in memory. How do I find memcpy calls?,axt @sym.memcpy
How can I find functions that look like they're doing string operations?,"afl~str,strcpy,strcat"
I want to see what happens right after the program starts. Where's the initialization code?,pd 30 @entry0
How do I find all the functions that use floating-point math?,"pd 100 @sym.main~float,double"
I want to see if this program creates any child processes. How do I find fork calls?,axt @sym.fork
How can I find places where the program is writing to files?,axt @sym.fwrite
I want to see all the places where the program might be making network connections.,axt @sym.connect
How do I find functions that contain a lot of jump instructions?,"pd 100 @sym.main~jmp,je,jne"
I want to look for potential buffer overflow vulnerabilities. How do I find unsafe string functions?,axt @sym.strcpy
How can I see what command line options this program might accept?,"iz~-h,--help"
I want to find all the error handling routines in the program. How do I search for those?,"afl~error,exception,handle"
How do I see if this program uses any random number generation?,axt @sym.rand
I want to see all the constant numbers used in a function. How do I find immediate values?,pd 100 @sym.main~0x
How can I find where the program is loading configuration files?,"axt @sym.fopen~config,conf,ini"
I want to see if there are any base64 encoded strings in the binary. How do I look?,"iz~[A-Za-z0-9+/]={0,2}"
How do I find functions that might be doing logging or debugging?,"afl~log,debug,print"
I want to see all the places where the program checks return values. How do I find error checks?,pd 100~cmp.*?eax
How can I find functions that use a lot of stack space? Maybe they have buffer overflows.,afl~stack
I want to see if this program creates any temporary files. How do I find those operations?,axt @sym.tmpfile
How do I look for functions that might be handling XML or JSON data?,"afl~xml,json,parse"
I want to find where the program might be executing shell commands.,axt @sym.system
How can I see all the comparison operations in a loop?,"pd 100 @sym.main~loop,cmp"
I want to find functions that look like they're doing authentication.,"afl~auth,login,verify"
How do I see what memory protection functions the program uses?,axt @sym.mprotect
I want to find places where the program might be doing time-based operations.,axt @sym.time
How can I see if there are any hardcoded database queries?,"iz~SELECT,INSERT,UPDATE"
I want to find functions that might be handling compressed data.,"afl~compress,zip,gzip"
How do I look for functions that might be doing certificate or SSL operations?,"afl~ssl,cert,tls"
I want to see all the places where the program might be using environment variables.,axt @sym.getenv
How can I find functions that look like they're doing data validation?,"afl~valid,check,verify"
I want to see if this program creates any mutex or semaphore objects.,axt @sym.pthread_mutex_init
How do I find places where the program might be doing privilege checks?,"afl~priv,admin,root"
I want to see what variables a function is using. How do I look at local vars?,afv
How can I find all the functions that never return to their caller?,afl~noreturn
I want to see what kind of signal handlers this program sets up. How do I find those?,axt @sym.signal
How do I look for possible backdoors? Like hidden commands or passwords?,"iz~backdoor,hidden,secret"
I want to find all the places where the program allocates heap memory dynamically.,"axt @sym.malloc,@sym.calloc"
How can I see what command line arguments a function is processing?,"pd 100 @main~argc,argv"
I want to find functions that might be doing image processing or graphics.,"afl~image,pixel,draw"
How do I see what shared memory operations the program uses?,axt @sym.shm
I want to find places where the program might be doing bitwise operations.,"pd 100~and,or,xor,shl,shr"
How can I see what thread-related functions this program uses?,"afl~thread,pthread"
I want to find functions that might be implementing custom algorithms.,"afl~algorithm,hash,compute"
How do I look for possible integer overflow vulnerabilities?,"pd 100~mul,imul,add"
I want to see all the places where the program uses system time.,"axt @sym.time,@sym.gettimeofday"
How can I find functions that might be handling keyboard input?,"afl~key,input,stdin"
I want to see if this program creates any child processes or threads.,"axt @sym.fork,@sym.pthread_create"
How do I find functions that might be doing data encoding/decoding?,"afl~encode,decode,convert"
I want to see all the places where the program might be loading plugins.,axt @sym.dlopen
How can I find functions that might be implementing state machines?,"afl~state,transition"
I want to see what kind of cleanup operations happen at program exit.,axt @sym.atexit
How do I find places where the program might be doing pointer arithmetic?,pd 100~lea
How do I see what functions get called right when the program starts up?,axt @sym._init
I want to find all the places where data is being written to memory. How do I see mov instructions?,pd 100 @sym.main~mov
How can I look for functions that might contain infinite loops?,pd 100~jmp.*0x
I want to see if this program does any DNA or genomic analysis. How do I search for bio-related functions?,"afl~dna,gene,sequence"
How do I find all the places where the program is doing string comparisons?,axt @sym.strcmp
I want to see what kind of memory alignment the program uses. How do I find alignment checks?,pd 100~and.*0xf
How can I find functions that might be implementing custom protocols?,"afl~protocol,packet,parse"
I want to see all the places where the program might be doing audio processing.,"afl~audio,sound,wav"
How do I find functions that might be handling Unicode strings?,"afl~unicode,utf,wchar"
I want to see what kind of timer functions this program uses.,axt @sym.setitimer
How can I find places where the program might be doing checksum calculations?,"afl~checksum,crc,hash"
I want to see all the places where the program uses synchronization primitives.,axt @sym.pthread_mutex_lock
How do I find functions that might be implementing caches?,"afl~cache,buffer,temp"
I want to see what kind of math libraries this program links against.,ii~math
How can I find all the recursive functions in the program?,afl~recursive
